排名,代號,名稱,收盤價,綜合評分,投資等級,技術評分,基本面評分,風險等級,交易訊號,信心度,倉位建議,持有期間,EPS,ROE,本益比,負債比,核心論點,主要優勢,主要風險
11,8462,柏文,$166.50,81.2,A+,82,68,低,BUY,77%,可配置20-30%資金,中長期持有 (3-6個月),6.37,27.3%,26.1,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
12,6446,藥華藥,$552.00,81.0,A+,81,72,低,BUY,81%,可配置20-30%資金,中長期持有 (3-6個月),10.91,15.0%,50.6,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,高本益比 50.6 - 估值風險
13,8926,台汽電,$48.30,80.7,A+,95,54,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),2.54,12.5%,19.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
14,2890,永豐金,$25.75,80.6,A+,100,47,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),1.72,11.4%,15.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
15,3231,緯創,$149.50,80.5,A+,85,55,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),7.24,24.6%,20.6,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
16,8021,尖點,$118.00,80.4,A+,96,50,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),1.72,5.6%,68.6,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,高本益比 68.6 - 估值風險
17,1463,強盛新,$21.45,80.0,A+,76,72,低,BUY,91%,可配置20-30%資金,中長期持有 (3-6個月),3.44,24.3%,6.2,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,風險可控
18,2382,廣達,$294.00,79.8,A,78,67,低,BUY,88%,可配置20-30%資金,中長期持有 (3-6個月),17.50,35.7%,16.8,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
19,6861,睿生光電,$69.80,79.7,A,92,43,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),3.47,10.9%,20.1,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
20,5276,達輝-KY,$17.10,79.6,A,85,52,低,BUY,85%,可配置20-30%資金,中長期持有 (3-6個月),1.05,10.8%,16.3,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
21,5013,強新,$32.10,79.5,A,96,37,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),1.66,7.4%,19.3,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
22,6138,茂達,$240.00,79.2,A,72,68,低,BUY,87%,可配置20-30%資金,中長期持有 (3-6個月),10.15,21.7%,23.6,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
23,6194,育富,$37.00,79.0,A,81,62,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),3.16,8.3%,11.7,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
24,3008,大立光,$2360.00,78.8,A,73,77,低,BUY,83%,可配置20-30%資金,中長期持有 (3-6個月),168.20,13.1%,14.0,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,風險可控
25,2855,統一證,$23.75,78.7,A,79,62,低,BUY,89%,可配置20-30%資金,中長期持有 (3-6個月),1.60,5.4%,14.8,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
26,2348A,海悅甲特,$36.30,78.6,A,77,71,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),14.11,14.9%,2.6,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,風險可控
27,6183,關貿,$98.80,77.5,A,72,74,低,BUY,82%,可配置20-30%資金,中長期持有 (3-6個月),3.62,22.1%,27.3,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,風險可控
28,4506,崇友,$130.50,77.5,A,78,66,低,BUY,88%,可配置20-30%資金,中長期持有 (3-6個月),6.00,20.6%,21.8,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
29,2881A,富邦特,$63.50,77.1,A,80,62,低,BUY,85%,可配置20-30%資金,中長期持有 (3-6個月),11.92,13.6%,5.3,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
30,8487,愛爾達-創,$80.90,76.9,A,69,76,低,HOLD,59%,可配置20-30%資金,中長期持有 (3-6個月),6.93,31.3%,11.7,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
31,6768,志強-KY,$112.00,76.8,A,77,65,低,BUY,92%,可配置20-30%資金,中長期持有 (3-6個月),8.42,12.2%,13.3,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
32,2383,台光電,$1295.00,76.7,A,71,66,低,BUY,56%,可配置20-30%資金,中長期持有 (3-6個月),33.93,37.2%,38.2,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
33,1476,儒鴻,$438.50,76.4,A,70,73,低,BUY,70%,可配置20-30%資金,中長期持有 (3-6個月),21.00,22.5%,20.9,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,風險可控
34,8924,大田,$71.80,76.2,A,78,50,低,BUY,68%,可配置20-30%資金,中長期持有 (3-6個月),4.70,10.6%,15.3,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
35,3430,奇鈦科,$82.00,76.1,A,74,55,低,BUY,74%,可配置20-30%資金,中長期持有 (3-6個月),3.19,10.2%,25.7,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
36,3611,鼎翰,$189.00,76.0,A,87,49,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),14.48,14.4%,13.1,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
37,3227,原相,$242.50,75.9,A,57,82,低,HOLD,57%,可配置20-30%資金,中長期持有 (3-6個月),12.99,18.0%,18.7,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
38,3217,優群,$178.50,75.9,A,62,82,低,HOLD,57%,可配置20-30%資金,中長期持有 (3-6個月),11.81,26.2%,15.1,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
39,8112,至上,$46.00,75.7,A,90,44,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),1.62,6.3%,28.4,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
40,8084,巨虹,$45.95,75.4,A,91,30,低,BUY,91%,可配置20-30%資金,中長期持有 (3-6個月),1.16,14.6%,39.6,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
41,8077,洛碁,$45.60,75.4,A,70,73,低,BUY,55%,可配置20-30%資金,中長期持有 (3-6個月),4.82,27.1%,9.5,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,成交量萎縮 - 流動性風險
42,6782,視陽,$196.50,75.4,A,60,83,低,HOLD,60%,可配置20-30%資金,中長期持有 (3-6個月),11.10,20.7%,17.7,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
43,3551,世禾,$167.00,75.3,A,71,63,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),7.26,11.5%,23.0,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
44,3114,好德,$24.80,75.3,A,98,32,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),0.87,3.8%,28.5,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
45,2236,百達-KY,$110.00,75.0,A,89,43,低,BUY,74%,可配置20-30%資金,中長期持有 (3-6個月),7.88,20.1%,14.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
46,2070,精湛,$45.75,74.9,A,73,59,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),1.82,7.2%,25.1,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
47,6720,久昌,$136.00,74.9,A,68,74,低,HOLD,68%,可配置20-30%資金,中長期持有 (3-6個月),4.47,20.6%,30.4,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,成交量萎縮 - 流動性風險
48,3260,威剛,$167.50,74.5,A,70,55,低,BUY,55%,可配置20-30%資金,中長期持有 (3-6個月),7.28,14.3%,23.0,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
49,8210,勤誠,$608.00,74.3,A,61,78,低,HOLD,56%,可配置20-30%資金,中長期持有 (3-6個月),21.00,39.0%,29.0,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
50,5403,中菲,$124.50,74.3,A,61,78,低,HOLD,56%,可配置20-30%資金,中長期持有 (3-6個月),8.54,27.4%,14.6,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
51,6904,伯鑫,$127.50,74.2,A,87,53,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),6.88,13.2%,18.5,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,成交量萎縮 - 流動性風險
52,4536,拓凱,$192.00,74.1,A,62,76,低,HOLD,57%,可配置20-30%資金,中長期持有 (3-6個月),18.34,20.1%,10.5,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
53,6785,昱展新藥,$283.00,74.0,A,100,30,中,BUY,95%,可配置20-30%資金,短中期持有 (1-3個月),-0.28,-0.7%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
54,8277,商丞,$14.45,74.0,A,94,38,中,BUY,95%,可配置20-30%資金,短中期持有 (1-3個月),-0.60,-14.7%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
55,1736,喬山,$183.00,74.0,A,56,72,低,HOLD,56%,可配置20-30%資金,中長期持有 (3-6個月),8.77,26.6%,20.9,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
56,8048,德勝,$48.20,74.0,A,80,40,低,BUY,80%,可配置20-30%資金,中長期持有 (3-6個月),1.68,8.9%,28.7,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
57,1236,宏亞,$25.45,73.6,A,96,34,中,BUY,95%,可配置20-30%資金,短中期持有 (1-3個月),-0.59,-2.1%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
58,6846,綠茵,$77.50,73.6,A,78,53,低,BUY,73%,可配置20-30%資金,中長期持有 (3-6個月),5.02,0.0%,15.4,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
59,7747,昕奇雲端,$143.00,73.5,A,71,62,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),4.34,22.9%,32.9,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
60,8354,冠好,$15.10,73.5,A,100,35,中,BUY,95%,可配置20-30%資金,短中期持有 (1-3個月),-0.86,-3.3%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
61,2801,彰銀,$20.10,73.4,A,91,35,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),1.30,8.4%,15.5,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
62,4129,聯合,$118.00,73.1,A,70,62,低,HOLD,45%,可配置20-30%資金,中長期持有 (3-6個月),5.15,13.5%,22.9,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
63,8996,高力,$395.00,73.0,A,84,48,低,BUY,84%,可配置20-30%資金,中長期持有 (3-6個月),6.06,18.2%,65.2,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,高本益比 65.2 - 估值風險
64,2718,全心投控,$59.70,73.0,A,51,92,低,HOLD,51%,可配置20-30%資金,不建議進場,43.17,94.6%,1.4,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
65,6515,穎崴,$2270.00,72.9,A,57,77,低,HOLD,57%,可配置20-30%資金,中長期持有 (3-6個月),44.21,33.9%,51.3,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,高本益比 51.3 - 估值風險
66,1795,美時,$264.00,72.9,A,51,75,低,HOLD,51%,可配置20-30%資金,中長期持有 (3-6個月),18.49,25.0%,14.3,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
67,9910,豐泰,$133.00,72.9,A,66,55,低,HOLD,61%,可配置20-30%資金,中長期持有 (3-6個月),4.94,22.1%,26.9,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
68,4711,永純,$17.25,72.7,A,100,19,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),0.05,0.3%,345.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,高本益比 345.0 - 估值風險
69,2330,台積電,$1365.00,72.6,A,45,82,低,HOLD,45%,可配置20-30%資金,中長期持有 (3-6個月),55.77,34.2%,24.5,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
70,6005,群益證,$24.65,72.6,A,60,67,低,HOLD,55%,可配置20-30%資金,中長期持有 (3-6個月),1.98,10.9%,12.4,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
71,3450,聯鈞,$300.50,72.5,A,59,73,低,HOLD,59%,可配置20-30%資金,中長期持有 (3-6個月),5.90,22.6%,50.9,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,高本益比 50.9 - 估值風險
72,6739,竹陞科技,$971.00,72.5,A,56,77,低,HOLD,56%,可配置20-30%資金,中長期持有 (3-6個月),9.21,36.9%,105.4,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,高本益比 105.4 - 估值風險
73,1473,台南,$29.35,72.5,A,71,47,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),1.88,7.2%,15.6,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
74,6712,長聖,$178.50,72.4,A,58,74,低,HOLD,53%,可配置20-30%資金,中長期持有 (3-6個月),4.61,29.3%,40.6,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,高本益比 40.6 - 估值風險
75,4107,邦特,$117.50,72.3,A,62,70,低,HOLD,57%,可配置20-30%資金,中長期持有 (3-6個月),7.54,16.3%,15.6,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
76,2357,華碩,$684.00,72.1,A,64,60,低,HOLD,59%,可配置20-30%資金,中長期持有 (3-6個月),49.15,14.2%,13.9,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
77,6425,易發,$66.00,72.1,A,78,53,中,BUY,95%,可配置20-30%資金,短中期持有 (1-3個月),-2.05,-9.1%,0.0,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
78,1259,安心,$60.00,72.0,A,95,30,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),0.90,1.3%,66.7,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,高本益比 66.7 - 估值風險
79,7751,竑騰,$509.00,72.0,A,56,77,低,HOLD,56%,可配置20-30%資金,中長期持有 (3-6個月),13.77,30.6%,37.0,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
80,3045,台灣大,$108.50,71.9,A,76,50,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),4.78,19.1%,22.7,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
81,6590,普鴻,$84.20,71.9,A,67,62,低,HOLD,57%,可配置20-30%資金,中長期持有 (3-6個月),5.26,17.0%,16.0,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
82,2428,興勤,$166.00,71.9,A,59,61,低,HOLD,54%,可配置20-30%資金,中長期持有 (3-6個月),11.25,14.5%,14.8,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
83,6163,華電網,$24.30,71.9,A,95,23,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),0.52,3.1%,46.7,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,高本益比 46.7 - 估值風險
84,8416,實威,$174.50,71.8,A,57,75,低,HOLD,52%,可配置20-30%資金,中長期持有 (3-6個月),11.47,23.4%,15.2,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
85,3581,博磊,$55.00,71.7,A,92,33,中,BUY,95%,可配置20-30%資金,短中期持有 (1-3個月),-0.18,3.2%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
86,2360,致茂,$634.00,71.7,A,54,72,低,HOLD,49%,可配置20-30%資金,中長期持有 (3-6個月),16.41,30.6%,38.6,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
87,2881,富邦金,$87.40,71.3,A,73,62,低,BUY,68%,可配置20-30%資金,中長期持有 (3-6個月),8.37,13.6%,10.4,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,成交量萎縮 - 流動性風險
88,4904,遠傳,$89.00,71.2,A,63,65,低,HOLD,53%,可配置20-30%資金,中長期持有 (3-6個月),3.71,15.7%,24.0,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
89,8390,金益鼎,$68.70,71.2,A,69,62,低,HOLD,59%,可配置20-30%資金,不建議進場,4.89,14.8%,14.0,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
90,8110,華東,$19.35,71.1,A,89,35,中,BUY,95%,可配置20-30%資金,短中期持有 (1-3個月),-0.60,-4.7%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
91,2887,台新新光金,$18.20,71.0,A,71,47,低,BUY,91%,可配置20-30%資金,中長期持有 (3-6個月),1.36,9.1%,13.4,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
92,3628,盈正,$73.50,71.0,A,74,38,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),2.76,7.6%,26.6,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
93,4927,泰鼎-KY,$27.85,71.0,A,100,20,中,BUY,95%,可配置20-30%資金,短中期持有 (1-3個月),-8.15,-29.0%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
94,6223,旺矽,$1725.00,71.0,A,56,77,低,HOLD,56%,可配置20-30%資金,中長期持有 (3-6個月),28.22,30.9%,61.1,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,高本益比 61.1 - 估值風險
95,8422,可寧衛,$203.00,70.9,A,54,76,低,HOLD,49%,可配置20-30%資金,中長期持有 (3-6個月),12.24,22.4%,16.6,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
96,4102,永日,$22.55,70.8,A,85,46,中,BUY,95%,可配置20-30%資金,短中期持有 (1-3個月),-0.01,0.7%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
97,3533,嘉澤,$1570.00,70.8,A,48,82,低,HOLD,48%,可配置20-30%資金,中長期持有 (3-6個月),70.98,24.7%,22.1,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
98,6274,台燿,$328.50,70.7,A,58,65,低,HOLD,58%,可配置20-30%資金,中長期持有 (3-6個月),9.98,22.2%,32.9,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
99,8047,星雲,$20.45,70.5,A,89,33,中,BUY,95%,可配置20-30%資金,短中期持有 (1-3個月),-0.15,-1.4%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
100,2546,根基,$88.10,70.4,A,71,45,低,BUY,71%,可配置20-30%資金,中長期持有 (3-6個月),8.13,21.1%,10.8,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
101,3044,健鼎,$309.00,70.3,A,57,70,低,HOLD,52%,可配置20-30%資金,中長期持有 (3-6個月),17.69,20.8%,17.5,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
102,2345,智邦,$1075.00,70.3,A,52,65,低,HOLD,47%,可配置20-30%資金,中長期持有 (3-6個月),30.80,52.3%,34.9,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
103,3376,新日興,$260.00,70.3,A,78,47,低,BUY,63%,可配置20-30%資金,中長期持有 (3-6個月),3.88,4.7%,67.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,高本益比 67.0 - 估值風險
104,2373,震旦行,$58.20,70.1,A,76,44,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),4.13,12.4%,14.1,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
105,8341,日友,$78.50,70.0,A,57,69,低,HOLD,57%,可配置20-30%資金,中長期持有 (3-6個月),4.42,13.1%,17.8,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
106,6629,泰金-KY,$118.00,69.9,B+,45,78,低,HOLD,45%,小額試單5-10%,中長期持有 (3-6個月),6.67,19.0%,17.7,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
107,2501,國建,$23.40,69.9,B+,57,62,低,HOLD,57%,小額試單5-10%,中長期持有 (3-6個月),1.97,7.5%,11.9,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
108,3135,凌航,$40.55,69.8,B+,83,32,低,BUY,83%,小額試單5-10%,中長期持有 (3-6個月),0.78,0.0%,52.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,高本益比 52.0 - 估值風險
109,2327,國巨*,$170.50,69.7,B+,52,68,低,HOLD,52%,小額試單5-10%,中長期持有 (3-6個月),9.64,13.6%,17.7,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
110,1233,天仁,$31.15,69.6,B+,80,37,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),0.78,5.1%,39.9,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
111,2059,川湖,$3340.00,69.6,B+,60,77,中,HOLD,60%,可配置10-20%資金,不建議進場,66.34,32.8%,50.3,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,成交量萎縮 - 流動性風險 | 高本益比 50.3 - 估值風險
112,8299,群聯,$796.00,69.5,B+,59,53,低,HOLD,59%,小額試單5-10%,中長期持有 (3-6個月),22.34,10.2%,35.6,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
113,5347,世界,$101.00,69.5,B+,59,58,低,HOLD,59%,小額試單5-10%,中長期持有 (3-6個月),4.70,15.8%,21.5,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
114,6581,鋼聯,$111.50,69.4,B+,57,77,低,HOLD,47%,小額試單5-10%,中長期持有 (3-6個月),6.89,18.8%,16.2,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,成交量萎縮 - 流動性風險
